snno,District,Market,Crop,Variety,Grade,Min_Price,Max_Price,Model_Price,Date,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
112,Pune,Pune,Onion,Local,FAQ,800,2500,1650.0,2024-01-01,"Pune, MH, India",84.8,57.3,70.6,83.5,57.3,70.6,56.7,64.0,0.0,0,0.0,,0,0,15.4,5.8,84.8,1014.5,14.5,11.1,211.9,18.2,8,10,2024-01-01T07:06:46,2024-01-01T18:09:02,0.67,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
113,Pune,Pune,Onion,Local,FAQ,800,2600,1700.0,2024-01-02,"Pune, MH, India",86.3,57.8,71.6,84.8,57.8,71.6,58.0,65.2,0.0,0,0.0,,0,0,18.3,7.6,90.6,1013.4,9.6,11.2,211.9,18.2,8,10,2024-01-02T07:07:07,2024-01-02T18:09:38,0.7,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
117,Pune,Pune,Onion,Local,FAQ,800,3000,1900.0,2024-01-03,"Pune, MH, India",85.4,62.8,71.7,84.6,62.8,71.6,59.9,69.8,0.0,0,0.0,,0,0,17.0,6.3,290.8,1012.4,13.9,11.3,206.8,17.9,8,10,2024-01-03T07:07:26,2024-01-03T18:10:14,0.73,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
141,Pune,Pune,Onion,Local,FAQ,1000,3200,2100.0,2024-01-04,"Pune, MH, India",83.9,62.0,71.1,83.5,62.0,71.0,58.2,67.1,0.0,0,0.0,,0,0,19.5,8.3,287.3,1012.6,13.1,11.1,209.8,18.2,8,10,2024-01-04T07:07:45,2024-01-04T18:10:51,0.75,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
118,Pune,Pune,Onion,Local,FAQ,800,3000,1900.0,2024-01-05,"Pune, MH, India",82.7,59.3,70.0,81.9,59.3,70.0,54.6,61.1,0.0,0,0.0,,0,0,16.1,6.0,283.0,1012.7,33.8,11.2,219.8,18.9,8,10,2024-01-05T07:08:02,2024-01-05T18:11:28,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-01-06,"Pune, MH, India",82.5,59.3,70.5,83.5,59.3,70.6,58.6,67.4,0.004,100,4.17,rain,0,0,20.1,7.2,102.4,1013.3,35.8,11.1,187.3,16.2,7,10,2024-01-06T07:08:19,2024-01-06T18:12:06,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
105,Pune,Pune,Onion,Local,FAQ,800,2200,1500.0,2024-01-07,"Pune, MH, India",84.3,61.4,71.9,84.2,61.4,72.0,60.4,69.4,0.0,0,0.0,,0,0,20.1,8.1,109.2,1013.5,42.0,11.3,165.4,14.2,7,10,2024-01-07T07:08:34,2024-01-07T18:12:44,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
103,Pune,Pune,Onion,Local,FAQ,800,2100,1450.0,2024-01-08,"Pune, MH, India",84.6,62.0,72.9,85.2,62.0,73.0,59.2,63.4,0.02,100,8.33,rain,0,0,25.5,9.8,106.4,1014.1,42.9,11.8,180.9,15.6,7,10,2024-01-08T07:08:48,2024-01-08T18:13:21,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
93,Pune,Pune,Onion,Local,FAQ,700,2100,1400.0,2024-01-09,"Pune, MH, India",78.2,65.2,70.5,78.2,65.2,70.5,64.5,81.5,0.079,100,4.17,rain,0,0,23.0,8.9,113.6,1015.1,72.2,9.9,115.9,10.1,5,10,2024-01-09T07:09:01,2024-01-09T18:14:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
99,Pune,Pune,Onion,Local,FAQ,700,2200,1450.0,2024-01-10,"Pune, MH, India",76.2,64.1,69.3,76.2,64.1,69.3,64.0,83.8,0.076,100,37.5,rain,0,0,16.6,6.5,89.0,1015.4,62.8,11.2,108.5,9.4,6,10,2024-01-10T07:09:13,2024-01-10T18:14:38,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43063099999,43111099999,remote,43060099999"
77,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-01-11,"Pune, MH, India",87.1,65.2,73.3,86.3,65.2,73.6,62.4,71.3,0.0,0,0.0,,0,0,17.7,5.4,86.4,1014.9,19.2,11.2,193.4,16.6,7,10,2024-01-11T07:09:23,2024-01-11T18:15:16,0.0,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-01-12,"Pune, MH, India",88.4,61.4,73.0,86.9,61.4,72.9,59.7,66.5,0.0,0,0.0,,0,0,19.0,7.6,80.1,1014.5,8.6,11.2,217.6,18.7,8,10,2024-01-12T07:09:33,2024-01-12T18:15:54,0.03,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-01-13,"Pune, MH, India",90.6,60.9,73.8,88.8,60.9,73.7,58.4,61.6,0.0,0,0.0,,0,0,16.3,6.5,6.2,1015.0,8.5,11.3,219.8,19.0,8,10,2024-01-13T07:09:41,2024-01-13T18:16:33,0.06,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
78,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-01-14,"Pune, MH, India",89.8,61.4,73.7,95.7,61.4,74.0,59.2,63.2,0.0,0,0.0,,0,0,18.3,6.9,343.7,1015.2,3.1,11.3,221.7,19.1,8,10,2024-01-14T07:09:48,2024-01-14T18:17:11,0.1,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
94,Pune,Pune,Onion,Local,FAQ,700,2100,1400.0,2024-01-15,"Pune, MH, India",88.0,56.0,70.0,84.6,56.0,69.6,50.8,55.8,0.0,0,0.0,,0,0,17.0,8.3,291.6,1014.7,0.4,11.4,229.9,19.9,8,10,2024-01-15T07:09:54,2024-01-15T18:17:49,0.13,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
